stock_code,con_date,con_eps_roll
600690,2015-08-18,1.0835
600690,2015-08-19,1.084
600690,2015-08-20,1.089
600690,2015-08-21,1.0894
600690,2015-08-24,1.0852
600690,2015-08-25,1.0616
600690,2015-08-26,1.0726
600690,2015-08-27,1.0731
600690,2015-08-28,1.0735
600690,2015-08-31,0.9428
600690,2015-09-01,0.9434
600690,2015-09-02,0.9437
600690,2015-09-07,0.9275
600690,2015-09-08,0.9278
600690,2015-09-09,0.9281
600690,2015-09-10,0.923
600690,2015-09-11,0.9283
600690,2015-09-14,0.9292
600690,2015-09-15,0.9295
600690,2015-09-16,0.9278
600690,2015-09-17,0.9281
600690,2015-09-18,0.9284
600690,2015-09-21,0.9293
600690,2015-09-22,0.9296
600690,2015-09-23,0.9375
600690,2015-09-24,0.9351
600690,2015-09-25,0.9354
600690,2015-09-28,0.9363
600690,2015-09-29,0.9366
600690,2015-09-30,0.9312
600690,2015-10-08,0.9497
600690,2015-10-09,0.9444
600690,2015-10-12,0.9454
600690,2015-10-13,0.9458
600690,2015-10-14,0.947
600690,2015-10-15,0.9474
600690,2015-10-16,0.9477
600690,2015-10-19,0.9514
600690,2015-10-20,0.9442
600690,2015-10-21,0.9422
600690,2015-10-22,0.9425
600690,2015-10-23,0.9428
600690,2015-10-26,0.9438
600690,2015-10-27,0.9441
600690,2015-10-28,0.9444
600690,2015-10-29,0.9447
600690,2015-10-30,0.9473
600690,2015-11-02,0.8333
600690,2015-11-03,0.8227
600690,2015-11-04,0.823
600690,2015-11-05,0.8254
600690,2015-11-06,0.8146
600690,2015-11-09,0.8155
600690,2015-11-10,0.8158
600690,2015-11-11,0.8161
600690,2015-11-12,0.8275
600690,2015-11-13,0.84
600690,2015-11-16,0.8394
600690,2015-11-17,0.8398
600690,2015-11-18,0.8401
600690,2015-11-19,0.8405
600690,2015-11-20,0.8408
600690,2015-11-23,0.8326
600690,2015-11-24,0.8328
600690,2015-11-25,0.8331
600690,2015-11-26,0.8334
600690,2015-11-27,0.8337
600690,2015-11-30,0.8147
600690,2015-12-01,0.815
600690,2015-12-02,0.826
600690,2015-12-03,0.8307
600690,2015-12-04,0.831
600690,2015-12-07,0.8236
600690,2015-12-08,0.8239
600690,2015-12-09,0.8243
600690,2015-12-10,0.8246
600690,2015-12-11,0.825
600690,2015-12-14,0.809
600690,2015-12-15,0.8094
600690,2015-12-16,0.8126
600690,2015-12-17,0.813
600690,2015-12-18,0.8133
600690,2015-12-21,0.8143
600690,2015-12-22,0.8146
600690,2015-12-23,0.815
600690,2015-12-24,0.8153
600690,2015-12-25,0.8156
600690,2015-12-28,0.8166
600690,2015-12-29,0.8169
600690,2015-12-30,0.8173
600690,2015-12-31,0.8329
600690,2016-01-04,0.8263
